id,name,url,className,classID,tags,username,license,description,duration,geotags,fold
459977,Soft Wind,https://freesound.org/people/florianreichelt/sounds/459977/,004 - Elements,3,['sound'+ 'atmosphere'+ 'noise'+ 'general-noise'+ 'atmo'+ 'nature'+ 'ambiance'+ 'background-sound'+ 'Air'+ 'breath'+ 'windy'+ 'atmos'+ 'wind'+ 'background'+ 'ambient'+ 'ambience'+ 'atmospheric'+ 'soundscape'+ 'Soft'+ 'white-noise'+ 'Wind'],florianreichelt,http://creativecommons.org/publicdomain/zero/1.0/,"Need FREE Sound Effects or Music for your Projects?
Use Epidemic Sound! <a href=""http://share.epidemicsound.com/flo"" rel=""nofollow"">http://share.epidemicsound.com/flo</a> - 30DaysFree/able to cancel on MonthlyBasis

Watch my short film about Social Media: <a href=""https://youtu.be/3TbWTO_tSW8"" rel=""nofollow"">https://youtu.be/3TbWTO_tSW8</a> 


Keywords: Wind, Soft, Air, nature, breath, windy, sound, noise, ambient, ambience, wind, white-noise,  background-sound general-noise atmosphere background background ambiance soundscape atmos atmo atmospheric",35.6713,,1
244942,Wind Through Trees 3b,https://freesound.org/people/spoonbender/sounds/244942/,004 - Elements,3,['creaking'+ 'gust'+ 'windy'+ 'woods'+ 'wind'+ 'wood'+ 'Field-Recording'+ 'Nature'+ 'Leaves'+ 'Northumberland'+ 'tree'+ 'Trees'+ 'Windy'+ 'Weather'+ 'Wind'+ 'creak'+ 'Thrunton'+ 'rustle'],spoonbender,https://creativecommons.org/licenses/by/4.0/,"Recorded on a windy day in Thrunton woods, Northumberland, UK.

Zoom h2n, recorded near a tree that was falling over and rubbing against other trees. Same location as 'Wind Through Trees 1' but with recorder attached to boom and closer to the creaking sound source. It has also gone through some light processing in RX3 to clean boom sound from muscle tension.

You can hear: 
- Wind 
- Wood creaking and Squeaking
- Leaves rustling",58.1547,55.381387 -1.886282,0
525292,wind.wav,https://freesound.org/people/nelstayade/sounds/525292/,004 - Elements,3,['sound'+ 'blow'+ 'blowing'+ 'howling'+ 'windy'+ 'wind'+ 'Wind'],nelstayade,http://creativecommons.org/publicdomain/zero/1.0/,sound of wind,45.04,,1
408442,"Wind blow, mouth.wav",https://freesound.org/people/Wesselorg/sounds/408442/,004 - Elements,3,['blow'+ 'blowing'+ 'air'+ 'mouth'+ 'Wind'+ 'wind'+ 'OWI'],Wesselorg,http://creativecommons.org/licenses/by-nc/3.0/,"Wind blow/mouth, recorded with a Rifle mic. Someone (Female) blowing wind from her mouth.",10.9721,,9
538197,Wind in the Trees with Birds.m4a,https://freesound.org/people/HighPeakEmma/sounds/538197/,004 - Elements,3,['field-recording'+ 'nature'+ 'campsite'+ 'trees'+ 'autumn'+ 'Wind'+ 'birds'+ 'wind'],HighPeakEmma,http://creativecommons.org/publicdomain/zero/1.0/,Strong wind blowing through trees with the odd bird call,32.1596,,0
457318,Autumn wind and dry leaves.wav,https://freesound.org/people/Stek59/sounds/457318/,004 - Elements,3,['dry'+ 'leaves'+ 'autumn'+ 'Wind'+ 'blows'+ 'sidewalk'+ 'wind'],Stek59,http://creativecommons.org/publicdomain/zero/1.0/,"In autumn the wind blows dry leaves over the sidewalks
Background noise could also be rain
Tascam DR-05
Software ADOBE Soundbooth CS4",42.9135,,1
405561,"Wind, Realistic, A.wav",https://freesound.org/people/InspectorJ/sounds/405561/,004 - Elements,3,['Blow'+ 'blow'+ 'Blowing'+ 'realistic'+ 'trees'+ 'windy'+ 'Trees'+ 'Realistic'+ 'Windy'+ 'blowing'+ 'wind'+ 'Wind'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Audio of moderate winds blowing through trees and bushes on the morning of Storm Brian. I have applied some EQ to cut out wind interference.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Wind, Realistic, A.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 21st October 2017.

Note: Audio quality is always better when downloaded.",48.0872,51.1540607053 -0.651197433472,6
353194,"Wind Chimes, A.wav",https://freesound.org/people/InspectorJ/sounds/353194/,004 - Elements,3,['Chimes'+ 'Sparkle'+ 'Glimmer'+ 'chime'+ 'chimes'+ 'sparkle'+ 'glimmer'+ 'Wind-chimes'+ 'Magic'+ 'Windchimes'+ 'Metal'+ 'Magical'+ 'wind-chimes'+ 'Shiny'+ 'Wind'+ 'magic'+ 'windchimes'+ 'metal'+ 'magical'+ 'Chime'+ 'shiny'+ 'wind'+ 'Unicorns'+ 'unicorns'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"A quick extract of a collection of wind chimes I stumbled across at a gift shop at the Jacksonville Zoo, Florida. I have added a little bit of echo and reverberation using Audacity.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Wind Chimes, A.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 26th August 2016.

Note: Audio quality is always better when downloaded.",25.8359,,7
376415,"Wind, Synthesized, A.wav",https://freesound.org/people/InspectorJ/sounds/376415/,004 - Elements,3,['synth'+ 'Synthesized'+ 'synthesized'+ 'Windy'+ 'windy'+ 'Wind'+ 'Synth'+ 'synthesised'+ 'Synthesised'+ 'wind'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Wind easily created using a synthesizer with a high-pass filter and some reverberation. I originally created this for a video game, but figured others might also find a use for it - enjoy!

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Wind, Synthesized, A.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

Originally created on 27th November 2016 using the ""Massive"" synthesizer and Cubase.",70.9987,,1
411577,"Ambience, Wind Chimes, B.wav",https://freesound.org/people/InspectorJ/sounds/411577/,004 - Elements,3,['Chimes'+ 'bright'+ 'Wind-chimes'+ 'Sparkle'+ 'chimes'+ 'Ambiance'+ 'Twinkle'+ 'ambiance'+ 'twinkle'+ 'sparkle'+ 'Twinkling'+ 'ambience'+ 'Bright'+ 'twinkling'+ 'Wind'+ 'chime'+ 'Ambience'+ 'Chime'+ 'wind-chimes'+ 'wind'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"My <a href=""http://www.freesound.org/people/InspectorJ/sounds/353194/"" rel=""nofollow"">""Wind Chimes, A.wav""</a> sound played four times at different speeds and pitches, then combined together for this glimmering ambience. As four sounds were combined the noise level was particularly high, though it quite ironically makes it sound like there is wind blowing in the background which I thought added a nice touch.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Ambience, Wind Chimes, B.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

Originally edited using ""Kontakt"" and ""Cubase"" Software on 16th November 2017.

Note: Audio quality is always better when downloaded.",30.1395,,2
